INSERT INTO `dictionary` VALUES (117219, 'محامت', 'muhammet', '2023-10-03 21:17:58', '2023-10-03 21:17:58');
INSERT INTO `dictionary` VALUES (117220, 'محامله', 'muhamele', '2023-10-03 21:17:59', '2023-10-03 21:17:59');
INSERT INTO `dictionary` VALUES (117221, 'محاملی', 'mahamili', '2023-10-03 21:17:59', '2023-10-03 21:17:59');
INSERT INTO `dictionary` VALUES (117222, 'محالی', 'muhami', '2023-10-03 21:18:00', '2023-10-03 21:18:00');
INSERT INTO `dictionary` VALUES (117223, 'محانت', 'mahanit', '2023-10-03 21:18:00', '2023-10-03 21:18:00');
INSERT INTO `dictionary` VALUES (117224, 'محاوج', 'mahaviç', '2023-10-03 21:18:00', '2023-10-03 21:18:00');
INSERT INTO `dictionary` VALUES (117225, 'محاوده', 'muhavede', '2023-10-03 21:18:01', '2023-10-03 21:18:01');
INSERT INTO `dictionary` VALUES (117226, 'محاور', 'mahavir', '2023-10-03 21:18:01', '2023-10-03 21:18:01');
INSERT INTO `dictionary` VALUES (117227, 'محاوصه', 'muhavasa', '2023-10-03 21:18:02', '2023-10-03 21:18:02');
INSERT INTO `dictionary` VALUES (117228, 'محاول', 'mahavil', '2023-10-03 21:18:02', '2023-10-03 21:18:02');
INSERT INTO `dictionary` VALUES (117229, 'محاویج', 'mahaviç', '2023-10-03 21:18:02', '2023-10-03 21:18:02');
INSERT INTO `dictionary` VALUES (117230, 'محایات', 'muhayat', '2023-10-03 21:18:03', '2023-10-03 21:18:03');
INSERT INTO `dictionary` VALUES (117231, 'محایض', 'mahayız', '2023-10-03 21:18:03', '2023-10-03 21:18:03');
INSERT INTO `dictionary` VALUES (117232, 'محاینه', 'Muhâyene', '2023-10-03 21:18:03', '2023-10-03 21:18:03');
INSERT INTO `dictionary` VALUES (117233, 'محایی', 'mahayi', '2023-10-03 21:18:04', '2023-10-03 21:18:04');
INSERT INTO `dictionary` VALUES (117234, 'محبتلشمك', 'muhabetleşmek', '2023-10-03 21:18:04', '2023-10-03 21:18:04');
INSERT INTO `dictionary` VALUES (117235, 'محبتلو', 'muhabbetli', '2023-10-03 21:18:05', '2023-10-03 21:18:05');
